Nom_station,Capacite_station
Plantes - Moulin Vert,45
Place du Moulin de Javel,45
Square Denise Buisson,45
Alexandre Dumas - Place de la Réunion,45
St-Ouen - Lamarck,45
Gare RER - Canadiens,45
Temple - Charlot,45
Chemin Vert - Saint-Maur,45
Cléry - Montmartre,44
Eugène Oudiné - Dessous Des Berges,44
Commerce - Letellier,44
Picpus - Louis Braille,44
Batignolles - Beudant,44
Félix Faure - Convention,44
Faidherbe - Dahomey,44
Choiseul - Quatre Septembre,44
Mairie du 4ème,44
Diderot - Reuilly,44
Leredde - Tolbiac,44
Gare Saint-Lazare - Place de Budapest,44
Caulaincourt - Place Constantin Pecqueur,44
Ramponeau - Belleville,44
Stade de France,44
Jean Jaurès - Salvador Allende,43
Place Etienne Pernet,43
Place Jacques et Thérèse Tréfouël,43
Lampes,43
Place Mireille Havet,43
Boulets - Faubourg Saint-Antoine,43
Cambrai - Benjamin Constant,43
Gare de Laplace,43
Square Saint-Ambroise,43
Froment - Bréguet,43
Parmentier - Hôpital Saint-Louis,43
Gare de Nanterre Ville,43
Gare Montparnasse - Arrivée,43
Cimetière de Montmartre,43
Petit Palais,43
Paul Klee - Place Augusta Holmes,43
Rottembourg - Général Michel Bizot,43
Saint-Denis - Rivoli,43
Hippodrome Paris-Vincennes,42
Belleville - Pyrénées,42
Bourg l'Abbé - Saint-Martin,42
Stalingrad - Désiré Chevalier,42
Flandrin - Longchamp,42
Saint-François-Xavier,42
Emile Zola - Fondary,42
BNF - Bibliothèque Nationale de France,42
Raffet - Montmorency,42
Reuilly - Place Felix Eboue,42
Centquatre,42
Place Madeleine Daniélou,42
Ceinture du Lac Inferieure - Saint-Cloud,42
Duroc - Place de Breteuil,42
Place Tony de Graaff,42
Porte de Saint-Ouen - Bessières,42
Belleville - Télégraphe,41
Custine - Ramey,41
Jean Moulin - Place Victor et Hélène Basch,41
Champ de Mars - Cler,41
Mairie d'Issy,41
Victor Hugo - La Pompe,41
Gare d'Argenteuil,40
Legendre - Clichy,40
Square Georges Melies,40
Jouffroy d'Abbans - Wagram,40
La Motte-Picquet - La Tour Maubourg,40
Porte de Clignancourt - Ney,40
Pyrénées - Emmery,40
Longchamp - Place d'Iéna,40
Mairie du 18ème,40
Jussieu - Guy de la Brosse,40
Place d'Italie - Vincent Auriol,40
Ménilmontant - Oberkampf,40
Gare de l'Est - Place du 11 Novembre 1918,40
Wilson - Landy,40
Duméril - Jeanne d'Arc,40
Place de la Porte de Paris,40
Glacière - Soeur Catherine Marie,40
Adolphe Lalyre - Armand Silvestre,40
Jonquière - Docteur Paul Brousse,40
Cimetière de Boulogne-Billancourt,40
Gobelins - Port-Royal,40
Auguste Cain - Jean Moulin,40
Porte de Clichy - Place des Nations Unies,40
Institut du Monde Arabe - Saint-Germain,40
Daumesnil - Hébrard,40
Cesaria Evora - Rosa Parks,40
Place de Verdun,40
Place aux Étoiles,40
Gare RER de Saint-Denis,40
Stade Georges Carpentier,40
Hôpital Necker,40
Enfants du Paradis - Peupliers,40
Caire - Dussoubs,40
Cambon - Rivoli,40
Barbès - Monique Maunoury,40
Mouton Duvernet - Général Leclerc,39
Paul Barruel - Vaugirard,39
Jacquard - Ternaux,39
Lucien Bossoutrot - Général Martial Vallin,39
Odessa - Départ,39
Panthéon - Valette,39
Emile Blemont - Poteau,39
Gare Montparnasse - René Mouchotte,39
Pajol - Place Herbert,39
Taitbout - Châteaudun,39
Belfort - Voltaire,39
Jourdan - Cité Universitaire,39
Vivienne - Montmartre,39
Jussieu - Fossés Saint-Bernard,39
Place Mongolfier,39
Belidor - Gouvion-Saint-Cyr,39
Porte des Lilas - Faidherbe,39
Saint-Mandé - Docteur Arnold Netter,39
Place du Canada,39
Saint-Lazare - Place d'Estienne d'Orves,39
Paul Vaillant Couturier - Chaptal,39
Hôtel de Ville de Nanterre,38
Faubourg Du Temple - Republique,38
Santé - Arago,38
Romainville - Vaillant-Couturier,38
Sablons - Georges Mandel,38
Vincennes - Douy-Delcupe,38
Diane Arbus,38
Place Joffre - Frédéric le Play,38
Indre - Prairies,38
Pergolèse - Malakoff,38
Guillaume Bertrand - République,38
Place Saint-Ferdinand,38
Monceau - Malesherbes,38
Saint-Maur - République,38
Général Michel Bizot - Claude Decaen,38
Pelée - Alphonse Baudin,38
Murat - Porte de Saint-Cloud,38
Cherche-Midi - Hôpital Necker,38
Place Amédée Gordini - Lefebvre,38
Saint-Ambroise - Parmentier,38
Ledru-Rollin - Place du Père Chaillet,37
